   1123 の	助詞,接続助詞,*,*,の,の,*
      4 オッサン	名詞,人名,*,*,*,*,*
      4 イン	名詞,人名,*,*,*,*,*
      4 アデリー	名詞,普通名詞,*,*,*,*,*
      4 られて	接尾辞,動詞性接尾辞,母音動詞,タ系連用テ形,られる,られて,代表表記:られる/られる
      4 らしい	助動詞,*,イ形容詞イ段,基本形,らしい,らしい,*
      4 より	助詞,格助詞,*,*,より,より,*
      4 ゆめ	名詞,普通名詞,*,*,ゆめ,ゆめ,代表表記:夢/ゆめ 漢字読み:訓 カテゴリ:抽象物 ドメイン:家庭・暮らし
      4 みんな	副詞,*,*,*,みんな,みんな,代表表記:皆/みんな 修飾（デ格）
      4 みる	接尾辞,動詞性接尾辞,母音動詞,基本形,みる,みる,代表表記:みる/みる
      4 ま	接頭辞,名詞接頭辞,*,*,ま,ま,代表表記:真/ま 内容語
      4 ぼっち	名詞,普通名詞,*,*,ぼっち,ぼっち,自動獲得:Wikipedia Wikipedia多義
      4 はず	名詞,形式名詞,*,*,はず,はず,*
      4 はじめ	動詞,*,母音動詞,基本連用形,はじめる,はじめ,代表表記:始める/はじめる 付属動詞候補（基本） 自他動詞:自:始まる/はじまる 反義:動詞:終える/おえる
      4 なれ	動詞,*,母音動詞,未然形,なれる,なれ,代表表記:慣れる/なれる 付属動詞候補（基本） 自他動詞:他:慣らす/ならす
      4 な	助詞,終助詞,*,*,な,な,*
      4 どう	指示詞,副詞形態指示詞,*,*,どう,どう,*
      4 だらけ	接尾辞,名詞性名詞接尾辞,*,*,だらけ,だらけ,代表表記:だらけ/だらけ
      4 せ	接尾辞,動詞性接尾辞,母音動詞,基本連用形,せる,せ,代表表記:せる/せる
      4 すべて	副詞,*,*,*,すべて,すべて,代表表記:全て/すべて 数量修飾
      4 じゃ	助詞,副助詞,*,*,じゃ,じゃ,標準:で/で+は/は
      4 し	助詞,接続助詞,*,*,し,し,*
      4 こそ	助詞,副助詞,*,*,こそ,こそ,*
      4 こ	接尾辞,動詞性接尾辞,カ変動詞,未然形,くる,こ,代表表記:くる/くる
      4 ぐ	名詞,普通名詞,*,*,ぐ,ぐ,代表表記:具/ぐ 漢字読み:音 カテゴリ:人工物-その他
      4 くん	接尾辞,名詞性名詞接尾辞,*,*,くん,くん,代表表記:君/くん
      4 きた	接尾辞,動詞性接尾辞,カ変動詞,タ形,くる,きた,代表表記:くる/くる
      4 お姫様	名詞,普通名詞,*,*,お姫様,おひめさま,代表表記:御姫様/おひめさま カテゴリ:人
      4 いい	動詞,*,子音動詞ワ行,基本連用形,いう,いい,代表表記:言う/いう 補文ト
      4 いい	形容詞,*,イ形容詞イ段,基本形,いい,いい,代表表記:良い/よい 反義:形容詞:悪い/わるい
      4 あの	指示詞,連体詞形態指示詞,*,*,あの,あの,*
      4 ３	名詞,数詞,*,*,３,さん,カテゴリ:数量
      4 s	名詞,組織名,*,*,*,*,*
      4 13	名詞,数詞,*,*,*,*,*
      4 10	名詞,数詞,*,*,*,*,*
      3 六	名詞,数詞,*,*,六,ろく,カテゴリ:数量
      3 連中	名詞,普通名詞,*,*,連中,れんちゅう,代表表記:連中/れんちゅう カテゴリ:人
      3 劣等	名詞,普通名詞,*,*,劣等,れっとう,代表表記:劣等/れっとう カテゴリ:抽象物
      3 領地	名詞,普通名詞,*,*,領地,りょうち,代表表記:領地/りょうち カテゴリ:場所-その他 ドメイン:政治
      3 落語	名詞,普通名詞,*,*,落語,らくご,代表表記:落語/らくご カテゴリ:抽象物 ドメイン:文化・芸術
      3 頼ま	動詞,*,子音動詞マ行,未然形,頼む,たのま,代表表記:頼む/たのむ
      3 葉	名詞,普通名詞,*,*,葉,は,代表表記:葉/は 漢字読み:訓 カテゴリ:植物-部位
      3 妖怪	名詞,普通名詞,*,*,妖怪,ようかい,代表表記:妖怪/ようかい カテゴリ:人 ドメイン:文化・芸術
      3 予定	名詞,サ変名詞,*,*,予定,よてい,代表表記:予定/よてい カテゴリ:抽象物
      3 誘わ	動詞,*,子音動詞ワ行,未然形,誘う,さそわ,代表表記:誘う/さそう
      3 訳	名詞,普通名詞,*,*,訳,やく,代表表記:訳/やく 漢字読み:音 カテゴリ:抽象物 ドメイン:文化・芸術
      3 野球	名詞,普通名詞,*,*,野球,やきゅう,代表表記:野球/やきゅう カテゴリ:抽象物 ドメイン:スポーツ
      3 妄想	名詞,サ変名詞,*,*,妄想,もうそう,代表表記:妄想/もうそう カテゴリ:抽象物
      3 滅亡	名詞,サ変名詞,*,*,滅亡,めつぼう,代表表記:滅亡/めつぼう カテゴリ:抽象物
      3 明日	名詞,時相名詞,*,*,明日,あす,代表表記:明日/あす カテゴリ:時間
      3 無能	形容詞,*,ナ形容詞,語幹,無能だ,むのう,代表表記:無能だ/むのうだ 反義:形容詞:有能だ/ゆうのうだ
      3 夢見た	動詞,*,母音動詞,タ形,夢見る,ゆめみた,代表表記:夢見る/ゆめみる ドメイン:家庭・暮らし
      3 毎日	名詞,時相名詞,*,*,毎日,まいにち,代表表記:毎日/まいにち カテゴリ:時間
      3 本	名詞,普通名詞,*,*,本,ほん,代表表記:本/ほん 漢字読み:音 カテゴリ:人工物-その他;抽象物
      3 暴走	名詞,サ変名詞,*,*,暴走,ぼうそう,代表表記:暴走/ぼうそう カテゴリ:抽象物
      3 放題	接尾辞,名詞性述語接尾辞,*,*,放題,ほうだい,代表表記:放題/ほうだい 内容語 カテゴリ:抽象物
      3 簿	名詞,普通名詞,*,*,簿,ぼ,代表表記:簿/ぼ 漢字読み:音 カテゴリ:人工物-その他
      3 暮らす	動詞,*,子音動詞サ行,基本形,暮らす,くらす,代表表記:暮らす/くらす ドメイン:家庭・暮らし
      3 編集	名詞,サ変名詞,*,*,編集,へんしゅう,代表表記:編集/へんしゅう カテゴリ:抽象物 ドメイン:メディア;文化・芸術
      3 変革	名詞,サ変名詞,*,*,変革,へんかく,代表表記:変革/へんかく カテゴリ:抽象物
      3 兵器	名詞,普通名詞,*,*,兵器,へいき,代表表記:兵器/へいき カテゴリ:人工物-その他 ドメイン:政治
      3 兵	名詞,普通名詞,*,*,兵,へい,代表表記:兵/へい 漢字読み:音 カテゴリ:人 ドメイン:政治
      3 物	名詞,普通名詞,*,*,物,ぶつ,代表表記:物/ぶつ 漢字読み:音 カテゴリ:人工物-その他
      3 夫	名詞,普通名詞,*,*,夫,おっと,代表表記:夫/おっと 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
      3 不良	形容詞,*,ナ形容詞,語幹,不良だ,ふりょう,代表表記:不良だ/ふりょうだ
      3 不思議な	形容詞,*,ナ形容詞,ダ列基本連体形,不思議だ,ふしぎな,代表表記:不思議だ/ふしぎだ
      3 不器用	形容詞,*,ナ形容詞,語幹,不器用だ,ぶきよう,代表表記:不器用だ/ぶきようだ
      3 氷	名詞,普通名詞,*,*,氷,こおり,代表表記:氷/こおり 漢字読み:訓 カテゴリ:抽象物
      3 美女	名詞,普通名詞,*,*,美女,びじょ,代表表記:美女/びじょ カテゴリ:人
      3 飛ばさ	動詞,*,子音動詞サ行,未然形,飛ばす,とばさ,代表表記:飛ばす/とばす 付属動詞候補（基本） 自他動詞:自:飛ぶ/とぶ
      3 飯	名詞,普通名詞,*,*,飯,めし,代表表記:飯/めし 漢字読み:訓 カテゴリ:人工物-食べ物 ドメイン:料理・食事
      3 繁	名詞,人名,*,*,繁,しげる,人名:日本:名:207:0.00055
      3 髪	名詞,普通名詞,*,*,髪,かみ,代表表記:髪/かみ 漢字読み:訓 カテゴリ:動物-部位
      3 白銀	名詞,普通名詞,*,*,白銀,はくぎん,代表表記:白銀/はくぎん カテゴリ:自然物
      3 買わ	動詞,*,子音動詞ワ行,未然形,買う,かわ,代表表記:買う/かう ドメイン:家庭・暮らし;ビジネス 反義:動詞:売る/うる
      3 配信	名詞,サ変名詞,*,*,配信,はいしん,代表表記:配信/はいしん カテゴリ:抽象物 ドメイン:メディア
      3 派	名詞,普通名詞,*,*,派,は,代表表記:派/は 漢字読み:音 組織名末尾 カテゴリ:組織・団体
      3 能	名詞,普通名詞,*,*,能,のう,代表表記:能/のう 漢字読み:音 カテゴリ:抽象物
      3 乳	名詞,普通名詞,*,*,乳,ちち,代表表記:乳/ちち 漢字読み:訓 カテゴリ:自然物 ドメイン:料理・食事
      3 日々	名詞,時相名詞,*,*,日々,ひび,代表表記:日々/ひび カテゴリ:時間
      3 特攻	名詞,普通名詞,*,*,特攻,とっこう,代表表記:特攻/とっこう カテゴリ:抽象物
      3 徳川	名詞,普通名詞,*,*,徳川,徳川,自動獲得:テキスト 意味分類:人:0.667;人名:0.333
      3 逃亡	名詞,サ変名詞,*,*,逃亡,とうぼう,代表表記:逃亡/とうぼう カテゴリ:抽象物
      3 盗賊	名詞,普通名詞,*,*,盗賊,とうぞく,代表表記:盗賊/とうぞく カテゴリ:組織・団体
      3 東京	名詞,地名,*,*,東京,とうきょう,代表表記:東京/とうきょう 地名:日本:都
      3 倒して	動詞,*,子音動詞サ行,タ系連用テ形,倒す,たおして,代表表記:倒す/たおす 付属動詞候補（基本） 自他動詞:自:倒れる/たおれる
      3 殿下	名詞,普通名詞,*,*,殿下,でんか,代表表記:殿下/でんか カテゴリ:人 ドメイン:政治
      3 伝	動詞,*,子音動詞ワ行,語幹,伝う,つた,代表表記:伝う/つたう
      3 通販	名詞,普通名詞,*,*,通販,つうはん,代表表記:通販/つうはん カテゴリ:抽象物 ドメイン:ビジネス
      3 柱	名詞,普通名詞,*,*,柱,ちゅう,代表表記:柱/ちゅう 漢字読み:音 〜を〜に構成語 カテゴリ:場所-施設部位
      3 地獄	名詞,普通名詞,*,*,地獄,じごく,代表表記:地獄/じごく カテゴリ:場所-その他
      3 知り	動詞,*,子音動詞ラ行,基本連用形,知る,しり,代表表記:知る/しる 補文ト 自他動詞:自:知れる/しれる
      3 値	名詞,普通名詞,*,*,値,あたい,代表表記:値/あたい 漢字読み:訓 カテゴリ:数量
      3 探す	動詞,*,子音動詞サ行,基本形,探す,さがす,代表表記:探す/さがす
      3 大好き	形容詞,*,ナノ形容詞,語幹,大好きだ,だいすき,代表表記:大好きだ/だいすきだ
      3 他の	連体詞,*,*,*,他の,たの,代表表記:他の/たの
      3 続ける	動詞,*,母音動詞,基本形,続ける,つづける,代表表記:続ける/つづける 付属動詞候補（基本） 自他動詞:自:続く/つづく
      3 族	名詞,普通名詞,*,*,族,ぞく,代表表記:族/ぞく 漢字読み:音 カテゴリ:組織・団体
      3 送り	動詞,*,子音動詞ラ行,基本連用形,送る,おくり,代表表記:送る/おくる 反義:動詞:迎える/むかえる
      3 蒼	形容詞,*,ナ形容詞,語幹,蒼だ,蒼,自動獲得:テキスト
      3 相棒	名詞,普通名詞,*,*,相棒,あいぼう,代表表記:相棒/あいぼう カテゴリ:人
      3 全て	副詞,*,*,*,全て,すべて,代表表記:全て/すべて 数量修飾
      3 戦略	名詞,普通名詞,*,*,戦略,せんりゃく,代表表記:戦略/せんりゃく カテゴリ:抽象物 ドメイン:ビジネス;政治
      3 戦場	名詞,普通名詞,*,*,戦場,せんじょう,代表表記:戦場/せんじょう カテゴリ:場所-その他 ドメイン:政治
      3 戦国	名詞,普通名詞,*,*,戦国,せんごく,代表表記:戦国/せんごく カテゴリ:抽象物 ドメイン:政治
      3 絶望	名詞,サ変名詞,*,*,絶望,ぜつぼう,代表表記:絶望/ぜつぼう カテゴリ:抽象物
      3 赤い	形容詞,*,イ形容詞アウオ段,基本形,赤い,あかい,代表表記:赤い/あかい 名詞派生:赤/あか
      3 昔話	名詞,普通名詞,*,*,昔話,むかしばなし,代表表記:昔話/むかしばなし カテゴリ:抽象物
      3 静かに	形容詞,*,ナ形容詞,ダ列基本連用形,静かだ,しずかに,代表表記:静かだ/しずかだ
      3 青年	名詞,普通名詞,*,*,青年,せいねん,代表表記:青年/せいねん カテゴリ:人
      3 青春	名詞,普通名詞,*,*,青春,せいしゅん,代表表記:青春/せいしゅん カテゴリ:抽象物
      3 生産	名詞,サ変名詞,*,*,生産,せいさん,代表表記:生産/せいさん カテゴリ:抽象物 ドメイン:ビジネス 反義:名詞-サ変名詞:消費/しょうひ
      3 生まれ変わった	動詞,*,子音動詞ラ行,タ形,生まれ変わる,うまれかわった,代表表記:生まれ変わる/うまれかわる
      3 生き	動詞,*,母音動詞,基本連用形,生きる,いき,代表表記:生きる/いきる ドメイン:健康・医学 自他動詞:他:生かす/いかす
      3 政略	名詞,普通名詞,*,*,政略,せいりゃく,代表表記:政略/せいりゃく カテゴリ:抽象物 ドメイン:政治
      3 成長	名詞,サ変名詞,*,*,成長,せいちょう,代表表記:成長/せいちょう カテゴリ:抽象物
      3 進化	名詞,サ変名詞,*,*,進化,しんか,代表表記:進化/しんか カテゴリ:抽象物 反義:名詞-サ変名詞:退化/たいか
      3 身体	名詞,普通名詞,*,*,身体,しんたい,代表表記:身体/しんたい カテゴリ:動物
      3 神器	名詞,普通名詞,*,*,神器,しんき,代表表記:神器/しんき カテゴリ:人工物-その他 ドメイン:文化・芸術
      3 神々	名詞,普通名詞,*,*,神々,かみがみ,代表表記:神々/かみがみ カテゴリ:人 ドメイン:文化・芸術
      3 真実	形容詞,*,ナノ形容詞,語幹,真実だ,しんじつ,代表表記:真実だ/しんじつだ
      3 真	接頭辞,名詞接頭辞,*,*,真,ま,代表表記:真/ま 内容語
      3 申し	動詞,*,子音動詞サ行,基本連用形,申す,もうし,代表表記:申す/もうす 補文ト 謙譲動詞:言う/いう
      3 新人	名詞,普通名詞,*,*,新人,しんじん,代表表記:新人/しんじん カテゴリ:人
      3 色々	副詞,*,*,*,色々,いろいろ,代表表記:色々/いろいろ
      3 上	名詞,普通名詞,*,*,上,うえ,代表表記:上/うえ 漢字読み:訓 カテゴリ:場所-機能
      3 笑う	動詞,*,子音動詞ワ行,基本形,笑う,わらう,代表表記:笑う/わらう 反義:動詞:泣く/なく
      3 称号	名詞,普通名詞,*,*,称号,しょうごう,代表表記:称号/しょうごう カテゴリ:抽象物
      3 商人	名詞,普通名詞,*,*,商人,しょうにん,代表表記:商人/しょうにん カテゴリ:人 ドメイン:ビジネス
      3 女体化	名詞,普通名詞,*,*,女体化,にょたいか,自動獲得:Wikipedia Wikipedia上位語:現象/げんしょう
      3 助けて	動詞,*,母音動詞,タ系連用テ形,助ける,たすけて,代表表記:助ける/たすける 自他動詞:自:助かる/たすかる
      3 書き	動詞,*,子音動詞カ行,基本連用形,書く,かき,代表表記:書く/かく 補文ト
      3 巡り	動詞,*,子音動詞ラ行,基本連用形,巡る,めぐり,代表表記:巡る/めぐる
      3 出来る	動詞,*,母音動詞,基本形,出来る,できる,代表表記:出来る/できる
      3 出会い	動詞,*,子音動詞ワ行,基本連用形,出会う,であい,代表表記:出会う/であう
      3 樹	名詞,普通名詞,*,*,樹,き,代表表記:木/き 漢字読み:訓 カテゴリ:植物
      3 守る	動詞,*,子音動詞ラ行,基本形,守る,まもる,代表表記:守る/まもる 反義:動詞:攻める/せめる;動詞:破る/やぶる
      3 主	名詞,普通名詞,*,*,主,あるじ,代表表記:主人/あるじ カテゴリ:人 ドメイン:家庭・暮らし
      3 社畜	名詞,普通名詞,*,*,社畜,しゃちく,自動獲得:Wikipedia
